"","LAT","LON","SPEED","ship_type","SHIPNAME","DATETIME","SHIP_ID","datefull","distance","LON_fut","LAT_fut","avg_distance","number"
"163",59.91674,30.02597,99,"Cargo","BELBEK","2016-12-15T10:07:04Z",146336,2016-12-15 10:07:04,1276.37200272902,30.00478,59.92099,10.278699425118,2341
"164",54.382,18.655,0,"Cargo","BELIZIA","2016-12-13T13:31:02Z",364158,2016-12-13 13:31:02,13.4989254185028,18.65497,54.38212,1.98533275314072,453
"165",54.65162,19.83767,93,"Tanker","BERGEN T","2016-12-17T13:17:02Z",348379,2016-12-17 13:17:02,21527.454635507,20.16665,54.68385,107.155206213763,1814
"166",59.91314,30.04284,112,"Tanker","BESIKTAS HALLAND","2016-12-15T10:49:05Z",288246,2016-12-15 10:49:05,1357.77941802089,30.02034,59.91771,9.29807693590345,2385
"167",57.66349,11.77922,123,"Tanker","BESIKTAS ICELAND","2016-12-13T11:33:05Z",3049,2016-12-13 11:33:05,1686.92244067798,11.7997,57.67393,11.2502013583836,3962
"168",57.92759,11.6645,102,"Tug","BESS","2016-12-17T16:49:08Z",313641,2016-12-17 16:49:08,2019.63533659727,11.63872,57.91573,639.933978206674,162
"169",59.90217,30.09717,87,"Cargo","BF CARTAGENA","2016-12-15T17:37:05Z",121733,2016-12-15 17:37:05,1353.67976534152,30.07483,59.90683,13.426433242267,2559
"170",59.90128,30.1009,75,"Cargo","BF FORTALEZA","2016-12-19T14:47:04Z",145981,2016-12-19 14:47:04,936.035841311742,30.11638,59.8981,14.9555285977425,1158
"171",55.73117,20.83533,116,"Cargo","BF VICTORIA","2016-12-16T20:49:06Z",363434,2016-12-16 20:49:06,1497.24679345714,20.8115,55.731,30.1118130673947,1418
"172",59.91169,30.24557,0,"Tug","BGK-326 RIF","2016-12-13T21:05:03Z",350957,2016-12-13 21:05:03,16.4657712902628,30.24543,59.91182,0.556493439830824,9081
"173",55.79769,20.80321,40,"Tanker","BIRGIT KNUTSEN","2016-12-13T14:25:07Z",200327,2016-12-13 14:25:07,14809.6294113515,20.98247,55.71124,41.122009157285,1142
"174",57.66332,11.77958,107,"Cargo","BIRTHE BRES","2016-12-14T19:55:05Z",159418,2016-12-14 19:55:05,2735.33762883324,11.81503,57.67889,84.070588628304,1550
"175",55.72635,21.08929,59,"Cargo","BIRYUZA","2016-12-17T23:31:06Z",348832,2016-12-17 23:31:06,1742.71018618608,21.10976,55.71579,12.269044662915,1750
